time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,-0.173121,1.323189,0.298137,0.991064,-0.073512,-0.013524,-0.110476,-0.002360,0.641658,-0.061042,-0.785114,-0.642069,0.141769,-0.033726,-1.049979,0.494699,-0.136053,0.875825,-0.091650,0.108902,-0.587368,-0.237564,-0.100342,1.005016,-0.449579,5.995233,-1.876689,2.007385,-1.536911,-0.143873,1.412596,1.215061,0.407481,-3.131751,-7.074060,-3.690159,9.149495
0.004000,-0.173122,1.324458,0.297953,0.991008,-0.074448,-0.014078,-0.110281,-0.000511,0.634561,-0.091835,-0.868213,-0.667638,0.159680,-0.021301,-1.053618,0.500640,-0.139330,0.876427,-0.092603,0.110386,-0.588520,-0.236655,-0.113906,0.998210,-0.435914,6.212562,-1.819505,2.970494,-1.638418,0.300526,-0.476411,0.741630,-0.576263,0.454686,-6.782444,-3.403212,6.832412
0.006000,-0.173142,1.325709,0.297766,0.990932,-0.075667,-0.014557,-0.110076,-0.009916,0.625288,-0.093289,-1.157452,-0.625264,0.176117,-0.008842,-1.055454,0.500828,-0.141988,0.877213,-0.094715,0.111087,-0.589517,-0.235674,-0.128108,0.990145,-0.418551,6.229753,-0.918206,0.094140,-1.329111,0.393385,-1.056264,0.350689,-0.498306,0.490250,-7.100982,-4.032136,8.681517
0.008000,-0.173185,1.326953,0.297567,0.990834,-0.077053,-0.014957,-0.109945,-0.021274,0.622019,-0.099523,-1.335088,-0.560808,0.108140,0.004469,-1.056643,0.503301,-0.144080,0.878051,-0.096956,0.111597,-0.589640,-0.235869,-0.141174,0.982416,-0.404813,6.655502,-0.594417,1.236458,-1.046170,0.419068,-1.120359,0.255008,-0.061466,-0.097622,-6.532791,-3.864706,6.869032
0.010000,-0.173252,1.328252,0.297400,0.990760,-0.078094,-0.015241,-0.109835,-0.033824,0.649532,-0.083507,-1.004423,-0.404922,0.095037,0.015841,-1.055594,0.500111,-0.146723,0.878413,-0.098896,0.112885,-0.588609,-0.237500,-0.152693,0.972664,-0.383745,5.685674,0.524420,-1.594986,-1.321394,0.181020,-0.969735,0.644041,0.515547,-0.815196,-5.759620,-4.876091,10.533984
0.012000,-0.173340,1.329569,0.297235,0.990683,-0.079057,-0.015456,-0.109809,-0.043990,0.658669,-0.082439,-0.936059,-0.322304,0.015615,0.027723,-1.054253,0.500669,-0.149302,0.878587,-0.100680,0.114495,-0.586671,-0.240265,-0.162162,0.963259,-0.365925,5.940957,0.670507,0.279251,-1.289147,0.086686,-0.892272,0.804814,0.968719,-1.382706,-4.734418,-4.702561,8.910009
0.014000,-0.173442,1.330933,0.297103,0.990628,-0.079736,-0.015628,-0.109789,-0.051086,0.681762,-0.065979,-0.657782,-0.247655,0.010090,0.037855,-1.050921,0.494366,-0.152351,0.878299,-0.101934,0.116735,-0.584069,-0.243923,-0.170185,0.952452,-0.343025,5.066397,1.666268,-3.151702,-1.524766,-0.143958,-0.627191,1.119943,1.301020,-1.829186,-4.011565,-5.403203,11.450356
0.016000,-0.173554,1.332263,0.296965,0.990539,-0.080740,-0.015816,-0.109835,-0.055870,0.665313,-0.069233,-0.981429,-0.293502,-0.054392,0.049948,-1.047914,0.491550,-0.154565,0.878105,-0.103061,0.118398,-0.581266,-0.248001,-0.177713,0.942705,-0.325636,6.046524,1.503409,-1.407815,-1.107219,-0.097146,-0.563242,0.831845,1.401621,-2.038792,-3.763888,-4.873407,8.694560
0.018000,-0.173666,1.333612,0.296850,0.990459,-0.081655,-0.016004,-0.109849,-0.056185,0.674584,-0.057434,-0.892302,-0.287212,-0.023134,0.060658,-1.043226,0.481234,-0.156939,0.877652,-0.103760,0.119965,-0.578297,-0.256616,-0.184914,0.931676,-0.303308,5.354863,2.344092,-5.157935,-1.186973,-0.226157,-0.349624,0.783268,1.484322,-4.307733,-3.600643,-5.514487,11.163871
0.020000,-0.173763,1.334944,0.296696,0.990382,-0.082538,-0.016293,-0.109839,-0.048493,0.665939,-0.077169,-0.849051,-0.385065,-0.008541,0.072199,-1.039434,0.475620,-0.159327,0.877305,-0.104205,0.120982,-0.577558,-0.260014,-0.191674,0.921257,-0.284201,5.770265,1.895597,-2.807053,-1.193736,-0.173865,-0.222564,0.508718,0.369485,-1.698513,-3.380052,-5.209823,9.553356
0.022000,-0.173842,1.336344,0.296525,0.990374,-0.082708,-0.016666,-0.109733,-0.039058,0.699787,-0.085139,-0.127029,-0.396803,0.075738,0.080208,-1.034184,0.463868,-0.163231,0.876584,-0.104024,0.122869,-0.578788,-0.258742,-0.196925,0.909284,-0.258911,4.004838,2.625267,-5.876206,-1.952256,-0.360150,0.090783,0.943428,-0.614732,0.635841,-2.625251,-5.986217,12.644886
0.024000,-0.173923,1.337717,0.296317,0.990343,-0.083072,-0.017073,-0.109678,-0.040612,0.686587,-0.104078,-0.317101,-0.448445,0.024193,0.089235,-1.029385,0.456879,-0.166636,0.876122,-0.104001,0.124675,-0.579917,-0.257652,-0.201935,0.898300,-0.238248,4.513184,2.399181,-3.494709,-1.702162,-0.231391,0.011293,0.902701,-0.564709,0.544813,-2.505087,-5.492401,10.331703
0.026000,-0.174017,1.339113,0.296113,0.990314,-0.083384,-0.017445,-0.109636,-0.047294,0.697879,-0.102169,-0.269590,-0.406637,0.012741,0.096109,-1.022443,0.442711,-0.170121,0.875571,-0.103997,0.126863,-0.580119,-0.257780,-0.206455,0.886489,-0.214432,3.437335,3.471450,-7.083781,-1.742863,-0.275205,0.002135,1.094480,-0.100909,-0.064090,-2.260021,-5.905318,11.907854
0.028000,-0.174135,1.340452,0.295892,0.990227,-0.084285,-0.017738,-0.109693,-0.058674,0.669841,-0.110689,-0.869212,-0.385527,-0.074603,0.104778,-1.015616,0.432687,-0.172265,0.875421,-0.104651,0.128117,-0.579250,-0.259372,-0.211570,0.875595,-0.194712,4.334308,3.413256,-5.012219,-1.071923,-0.074978,-0.326866,0.626768,0.434565,-0.796021,-2.557355,-5.447039,9.860262
0.030000,-0.174264,1.341839,0.295674,0.990162,-0.084908,-0.017961,-0.109761,-0.064567,0.693434,-0.108908,-0.598558,-0.284131,-0.082698,0.110576,-1.006893,0.416611,-0.174978,0.875063,-0.105343,0.130136,-0.577458,-0.262052,-0.215512,0.863556,-0.170258,2.899156,4.361424,-8.037836,-1.356168,-0.179048,-0.346324,1.009285,0.896038,-1.339751,-1.971235,-6.019632,12.226933
0.032000,-0.174401,1.343212,0.295428,0.990078,-0.085671,-0.018136,-0.109897,-0.068338,0.686118,-0.123054,-0.746396,-0.247787,-0.144855,0.116925,-0.998800,0.405556,-0.177323,0.874905,-0.106425,0.132057,-0.575064,-0.265445,-0.218933,0.852200,-0.148533,3.174286,4.046726,-5.527384,-1.172619,-0.078844,-0.540855,0.960833,1.196751,-1.696631,-1.710470,-5.677765,10.862409
0.034000,-0.174526,1.344645,0.295163,0.990030,-0.085991,-0.018334,-0.110049,-0.062534,0.716470,-0.132441,-0.301962,-0.218496,-0.167163,0.120299,-0.989597,0.389656,-0.180580,0.874586,-0.107295,0.135081,-0.572470,-0.268972,-0.219992,0.843508,-0.132430,1.687229,4.601590,-7.949914,-1.628612,-0.159893,-0.435007,1.511934,1.297099,-1.763394,-0.529558,-4.346150,8.051664
0.036000,-0.174650,1.346059,0.294880,0.989976,-0.086354,-0.018492,-0.110224,-0.062344,0.707363,-0.141162,-0.349541,-0.182458,-0.185370,0.124082,-0.981389,0.377786,-0.183691,0.874369,-0.108406,0.138017,-0.569705,-0.272646,-0.220173,0.837109,-0.121095,1.891090,4.103982,-5.935297,-1.555634,-0.108518,-0.555544,1.467939,1.382527,-1.837070,-0.090486,-3.199603,5.667108
0.038000,-0.174780,1.347501,0.294616,0.989962,-0.086376,-0.018584,-0.110316,-0.065065,0.721085,-0.132205,-0.014278,-0.085902,-0.100760,0.125491,-0.972399,0.360676,-0.187555,0.873826,-0.109419,0.141382,-0.567340,-0.275677,-0.218993,0.831777,-0.112689,0.704596,4.494728,-8.554720,-1.931618,-0.271191,-0.506369,1.682719,1.182727,-1.515220,0.590182,-2.665657,4.203211
0.040000,-0.174937,1.348879,0.294379,0.989930,-0.086720,-0.018507,-0.110345,-0.078176,0.688549,-0.118596,-0.352368,0.039696,-0.018635,0.128204,-0.964365,0.346912,-0.190754,0.873276,-0.110964,0.143441,-0.565498,-0.277445,-0.218167,0.827276,-0.106779,1.356779,4.017053,-6.881930,-1.599820,-0.275057,-0.772691,1.029307,0.920685,-0.884378,0.412946,-2.250501,2.954864
0.042000,-0.175128,1.350213,0.294203,0.989888,-0.087370,-0.018183,-0.110263,-0.095842,0.667366,-0.087860,-0.681020,0.241188,0.116513,0.130643,-0.955656,0.329865,-0.193432,0.872519,-0.113066,0.142974,-0.563820,-0.282875,-0.217780,0.822803,-0.102290,1.219432,4.354287,-8.523888,-1.339009,-0.378622,-1.050742,-0.233499,0.839355,-2.714775,0.193716,-2.236735,2.244410
0.044000,-0.175350,1.351518,0.294050,0.989867,-0.087956,-0.017705,-0.110058,-0.110567,0.652405,-0.076476,-0.630905,0.390216,0.253030,0.133187,-0.947889,0.316714,-0.196297,0.871509,-0.115475,0.141866,-0.563392,-0.283955,-0.217223,0.818255,-0.098834,1.271857,3.883569,-6.575273,-1.432183,-0.504975,-1.204534,-0.554141,0.213772,-0.540198,0.278136,-2.273932,1.728290
