time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,-0.793539,2.992142,0.306713,0.995455,0.060929,-0.002564,-0.073145,-0.118623,-0.228046,0.238816,-0.488415,-0.707517,0.262220,-0.187890,-0.766677,-0.083468,0.140918,0.577639,0.402256,-0.153797,-0.791950,0.110715,0.108281,0.828733,-0.167018,0.965825,-0.579024,4.624999,-0.552291,-0.597197,1.349642,-1.064862,-0.195969,-0.473469,-1.099439,-1.129740,2.507859
0.004000,-0.793769,2.991702,0.307172,0.995503,0.060360,-0.003248,-0.072942,-0.115177,-0.220162,0.229228,-0.518836,-0.710719,0.248776,-0.186024,-0.767540,-0.076686,0.139994,0.576637,0.404407,-0.155928,-0.792420,0.109889,0.106048,0.827216,-0.163840,0.932842,-0.431616,3.391190,-0.462239,-0.500960,1.075187,-1.065414,-0.235001,-0.413195,-1.116748,-0.758273,1.588994
0.006000,-0.793983,2.991252,0.307580,0.995563,0.059513,-0.003967,-0.072786,-0.106955,-0.225084,0.204148,-0.793676,-0.767551,0.205906,-0.183743,-0.768414,-0.071820,0.139888,0.575969,0.406394,-0.158536,-0.793185,0.109364,0.103740,0.828062,-0.169116,1.140575,-0.436704,2.432947,-0.052805,-0.334087,0.993977,-1.303995,-0.382415,-0.262560,-1.154054,0.423145,-2.638104
0.008000,-0.794194,2.990811,0.307989,0.995623,0.058650,-0.004686,-0.072610,-0.105348,-0.220435,0.204357,-0.810032,-0.768013,0.225011,-0.181454,-0.768820,-0.068956,0.139836,0.575249,0.408634,-0.161183,-0.793982,0.108853,0.100546,0.828377,-0.169804,1.144832,-0.203253,1.431725,-0.026255,-0.359821,1.119604,-1.323504,-0.398723,-0.255618,-1.596855,0.157331,-0.343946
0.010000,-0.794395,2.990386,0.308367,0.995677,0.057894,-0.005368,-0.072441,-0.100762,-0.212591,0.189439,-0.705183,-0.723493,0.216484,-0.179586,-0.769745,-0.066548,0.139710,0.574569,0.410761,-0.163606,-0.794790,0.108480,0.097190,0.828707,-0.169100,0.934020,-0.462346,1.203963,-0.063065,-0.339875,1.063615,-1.211704,-0.404002,-0.186243,-1.677979,0.165010,0.351772
0.012000,-0.794593,2.989990,0.308731,0.995716,0.057365,-0.006001,-0.072265,-0.099152,-0.197899,0.181997,-0.482242,-0.658774,0.217308,-0.178464,-0.770814,-0.064718,0.139159,0.573856,0.412692,-0.165563,-0.795512,0.108173,0.093841,0.828375,-0.164888,0.560702,-0.534537,0.915220,-0.275417,-0.356535,0.965733,-0.978372,-0.361083,-0.153561,-1.674336,-0.166146,2.106438
0.014000,-0.794785,2.989599,0.309050,0.995751,0.056867,-0.006588,-0.072132,-0.095871,-0.195332,0.159374,-0.455090,-0.611980,0.171907,-0.176816,-0.773463,-0.057651,0.138813,0.573154,0.414897,-0.167416,-0.796204,0.107999,0.090947,0.828924,-0.165069,0.823874,-1.324298,3.533608,-0.172792,-0.351181,1.102461,-0.926284,-0.345820,-0.087157,-1.447225,0.274584,-0.090793
0.016000,-0.794977,2.989214,0.309350,0.995788,0.056303,-0.007138,-0.072014,-0.095676,-0.192885,0.149873,-0.523050,-0.581796,0.155166,-0.175201,-0.775839,-0.053779,0.138705,0.572466,0.417068,-0.169361,-0.796795,0.107768,0.087920,0.829634,-0.166546,0.807770,-1.188479,1.935900,-0.053926,-0.343822,1.085326,-0.972612,-0.295574,-0.115194,-1.513211,0.354795,-0.738574
0.018000,-0.795177,2.988831,0.309640,0.995826,0.055697,-0.007617,-0.071904,-0.100149,-0.191461,0.144983,-0.570237,-0.513926,0.142871,-0.173513,-0.777877,-0.052188,0.138813,0.571664,0.419265,-0.171366,-0.797095,0.107306,0.084570,0.829660,-0.166283,0.843875,-1.018644,0.795229,0.053750,-0.400921,1.098462,-1.002455,-0.149850,-0.231029,-1.675426,0.013330,0.131659
0.020000,-0.795387,2.988466,0.309923,0.995858,0.055201,-0.008013,-0.071802,-0.105133,-0.182596,0.141483,-0.466868,-0.424079,0.129884,-0.172121,-0.779577,-0.051881,0.138737,0.570803,0.421086,-0.173118,-0.797073,0.106648,0.081253,0.828703,-0.163084,0.695970,-0.850209,0.153589,-0.038000,-0.430519,0.910320,-0.876326,0.010785,-0.329261,-1.658506,-0.478400,1.599357
