time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,0.000787,0.007321,0.283477,0.999657,0.003313,-0.003617,0.025726,0.010976,-0.074411,-0.010824,-0.100657,-0.202260,0.171241,-0.041851,-0.847424,0.040127,0.044807,1.021376,-0.395220,0.034838,-0.935710,0.418680,-0.031153,0.766802,-0.085392,0.103991,-0.040668,-0.240444,0.344483,3.579879,-7.084131,0.238731,-3.580188,6.928197,-0.503563,0.135944,-0.057698
0.004000,0.000796,0.007201,0.283498,0.999651,0.003432,-0.003856,0.025895,0.004633,-0.059845,0.010358,0.113533,-0.240720,0.169203,-0.042113,-0.847445,0.039475,0.045106,1.027834,-0.406993,0.036228,-0.942321,0.430464,-0.031657,0.766980,-0.085268,-0.130946,-0.010506,-0.325650,0.149582,3.228948,-5.886403,0.695004,-3.305687,5.892234,-0.251974,0.088912,0.062229
0.006000,0.000794,0.007098,0.283544,0.999645,0.003651,-0.004112,0.026078,-0.001054,-0.051323,0.023185,0.212812,-0.261351,0.183821,-0.042622,-0.847437,0.038723,0.044941,1.034210,-0.419841,0.037744,-0.948825,0.442790,-0.031933,0.767072,-0.085005,-0.254259,0.004150,-0.376367,-0.082497,3.188412,-6.424356,0.758224,-3.251769,6.163248,-0.137905,0.046101,0.131346
0.008000,0.000777,0.006991,0.283626,0.999639,0.003802,-0.004361,0.026248,-0.008350,-0.053842,0.040855,0.145258,-0.252562,0.169938,-0.042961,-0.847281,0.037829,0.045504,1.039623,-0.429679,0.039332,-0.954362,0.452045,-0.032299,0.767037,-0.084588,-0.169917,0.077847,-0.446919,0.281853,2.706058,-4.918848,0.793742,-2.768806,4.627240,-0.183015,-0.017349,0.208735
0.010000,0.000750,0.006873,0.283722,0.999633,0.003836,-0.004607,0.026429,-0.013556,-0.058783,0.048240,0.028962,-0.245652,0.182547,-0.043068,-0.847057,0.036852,0.046325,1.044903,-0.440804,0.040152,-0.959798,0.462556,-0.032906,0.766938,-0.084152,-0.053079,0.111988,-0.488265,0.410346,2.640344,-5.562462,0.410137,-2.717609,5.255491,-0.303789,-0.049813,0.217576
0.012000,0.000710,0.006748,0.283849,0.999628,0.003804,-0.004837,0.026588,-0.019960,-0.062494,0.063423,-0.038200,-0.228755,0.159791,-0.042981,-0.846709,0.035803,0.048029,1.049009,-0.447927,0.041051,-0.964136,0.469383,-0.033597,0.766726,-0.083583,0.043240,0.174209,-0.524861,0.852085,2.052901,-3.561395,0.449688,-2.169056,3.413284,-0.345432,-0.106061,0.284632
0.014000,0.000663,0.006639,0.283982,0.999621,0.003894,-0.005073,0.026762,-0.023432,-0.054758,0.066544,0.085066,-0.237347,0.173993,-0.043169,-0.846434,0.034834,0.049086,1.053113,-0.456868,0.041770,-0.968583,0.478099,-0.034026,0.766467,-0.082951,-0.094043,0.137538,-0.484309,0.528399,2.052034,-4.470625,0.359436,-2.223679,4.358072,-0.214580,-0.129530,0.316156
0.016000,0.000607,0.006547,0.284141,0.999615,0.004159,-0.005304,0.026908,-0.028202,-0.045822,0.079676,0.259108,-0.237645,0.146243,-0.043666,-0.846154,0.033928,0.050246,1.056012,-0.461310,0.043339,-0.971964,0.482793,-0.034023,0.766112,-0.082120,-0.248249,0.139874,-0.452757,0.579951,1.449296,-2.220726,0.784141,-1.690313,2.347401,0.001566,-0.177064,0.415312
0.018000,0.000547,0.006466,0.284300,0.999608,0.004501,-0.005545,0.027069,-0.030018,-0.040461,0.079396,0.336559,-0.249201,0.159900,-0.044336,-0.845951,0.033089,0.050680,1.059055,-0.468273,0.044514,-0.975549,0.489566,-0.033861,0.765776,-0.081313,-0.335246,0.101305,-0.419860,0.216965,1.521572,-3.481926,0.587803,-1.792533,3.386149,0.081218,-0.168382,0.403571
0.020000,0.000480,0.006375,0.284481,0.999602,0.004762,-0.005779,0.027194,-0.033400,-0.045425,0.090508,0.255141,-0.240651,0.125274,-0.044759,-0.845641,0.032174,0.051944,1.060866,-0.470642,0.045817,-0.977971,0.491733,-0.033805,0.765435,-0.080480,-0.211272,0.155139,-0.457635,0.632152,0.905649,-1.184252,0.651275,-1.211069,1.083715,0.027663,-0.170458,0.416752
