time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,-1.208797,-0.166790,0.311322,0.981433,-0.008465,-0.016661,0.190895,-0.813034,-0.307718,-0.125967,0.129461,0.925190,0.338046,-0.039350,-0.778476,-0.137146,0.074391,0.322868,0.358519,0.023454,-0.306691,-0.261355,-0.032488,0.821345,0.025655,-0.443179,3.815966,1.416473,0.097126,-2.024667,0.274990,-0.521829,2.486542,-0.101719,0.070691,-4.720314,0.483365
0.004000,-1.210398,-0.167396,0.311076,0.981367,-0.008374,-0.015527,0.191331,-0.800557,-0.303037,-0.123263,0.313041,1.090946,0.449037,-0.040570,-0.771371,-0.134448,0.073614,0.321261,0.352673,0.021808,-0.303274,-0.258538,-0.032320,0.811097,0.027956,-0.609977,3.552842,1.349161,-0.388854,-0.803492,-2.923157,-0.823423,1.708255,1.408588,0.083994,-5.123826,1.150562
0.006000,-1.211989,-0.167992,0.310875,0.981284,-0.008153,-0.014348,0.191858,-0.795606,-0.297939,-0.100349,0.449568,1.109336,0.539267,-0.042496,-0.762752,-0.141412,0.072126,0.319924,0.345972,0.020104,-0.300761,-0.254392,-0.032125,0.800500,0.031161,-0.962719,4.309193,-3.482121,-0.743679,-0.668648,-3.350471,-0.851997,1.256798,2.073056,0.097260,-5.298371,1.602294
0.008000,-1.213590,-0.168586,0.310724,0.981195,-0.007696,-0.013130,0.192420,-0.800534,-0.296925,-0.075610,0.689738,1.101517,0.571702,-0.044536,-0.753680,-0.151821,0.070089,0.317314,0.340886,0.019253,-0.297813,-0.251267,-0.031593,0.789632,0.035156,-1.020074,4.536182,-5.204295,-1.018805,-1.305140,-2.543289,-0.425015,1.473736,1.562359,0.266064,-5.434168,1.997695
0.010000,-1.215197,-0.169200,0.310622,0.981109,-0.007052,-0.011877,0.192963,-0.803541,-0.307142,-0.050940,0.879240,1.099896,0.550697,-0.045458,-0.745893,-0.156468,0.067779,0.313521,0.337426,0.019088,-0.293850,-0.250002,-0.030771,0.778555,0.039842,-0.460956,3.893156,-2.323720,-1.154581,-1.896504,-1.729700,-0.082726,1.981767,0.632607,0.410802,-5.538654,2.343087
0.012000,-1.216788,-0.169864,0.310583,0.981030,-0.006623,-0.010655,0.193451,-0.795521,-0.331551,-0.019729,0.662723,1.112049,0.497993,-0.044265,-0.739146,-0.155570,0.066085,0.308895,0.335099,0.019013,-0.288530,-0.265027,-0.030425,0.767435,0.044960,0.596324,3.373953,0.448995,-0.847310,-2.312820,-1.163509,-0.037482,2.660004,-7.512477,0.173187,-5.560007,2.558924
0.014000,-1.218442,-0.170583,0.310656,0.980966,-0.006250,-0.009450,0.193848,-0.827056,-0.359605,0.036629,0.602155,1.106179,0.405347,-0.042316,-0.730691,-0.162670,0.064773,0.302719,0.335018,0.019021,-0.281312,-0.279858,-0.030100,0.755972,0.050778,0.974694,4.227214,-3.550107,-0.655771,-3.088032,-0.040474,0.003920,3.608999,-7.415803,0.162339,-5.731132,2.909004
0.016000,-1.220152,-0.171281,0.310766,0.980915,-0.005133,-0.008156,0.194198,-0.854562,-0.349167,0.055133,1.349849,1.050709,0.350806,-0.042423,-0.723169,-0.167178,0.062138,0.295231,0.337195,0.020779,-0.273419,-0.291978,-0.028213,0.744325,0.057263,-0.053340,3.761251,-2.253911,-1.317688,-3.744301,1.088458,0.879241,3.946464,-6.059673,0.943723,-5.823866,3.242354
0.018000,-1.221847,-0.171962,0.310871,0.980861,-0.003405,-0.006961,0.194553,-0.847734,-0.340670,0.052551,1.929397,0.834252,0.351242,-0.044117,-0.716750,-0.169852,0.058430,0.287035,0.341382,0.023034,-0.269136,-0.284978,-0.025264,0.733408,0.063489,-0.847310,3.209403,-1.336997,-1.853881,-4.098005,2.093504,1.127263,2.141290,3.499746,1.474743,-5.458492,3.112792
0.020000,-1.223503,-0.172741,0.310995,0.980824,-0.002349,-0.006041,0.194786,-0.827771,-0.389286,0.061952,1.216245,0.695930,0.231296,-0.044463,-0.710521,-0.171873,0.056552,0.278744,0.346203,0.023680,-0.264401,-0.278165,-0.023736,0.723585,0.068691,-0.173078,3.114319,-1.010246,-0.939163,-4.145131,2.410326,0.322882,2.367575,3.406745,0.763801,-4.911434,2.601218
0.022000,-1.225049,-0.173665,0.311079,0.980807,-0.002837,-0.005492,0.194883,-0.773034,-0.462006,0.041962,-0.370514,0.632963,0.102183,-0.041643,-0.704308,-0.173657,0.059244,0.272706,0.347633,0.020754,-0.259739,-0.272674,-0.025452,0.715482,0.071841,1.409994,3.106470,-0.892138,1.345900,-3.019042,0.714890,-1.462824,2.330923,2.745554,-0.858154,-4.051557,1.575210
0.024000,-1.226543,-0.174641,0.311148,0.980813,-0.004049,-0.005118,0.194842,-0.747105,-0.488038,0.034302,-1.116657,0.602798,-0.032824,-0.037426,-0.698211,-0.174912,0.064249,0.268658,0.346281,0.017125,-0.253345,-0.277841,-0.028456,0.708386,0.073912,2.108654,3.048659,-0.627693,2.502869,-2.024023,-0.675694,-1.814385,3.196873,-2.583624,-1.502045,-3.547895,1.035135
