time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,-0.487237,-1.504244,0.282453,0.657799,-0.001302,-0.001554,-0.753191,-0.047930,-0.294934,0.028556,0.074196,-0.020132,-0.023317,-0.048517,-0.995056,0.039998,0.054376,0.769583,-0.044775,0.041362,-0.706730,0.086248,-0.045583,0.946733,-0.090351,-0.029541,-0.720505,-0.263216,-0.154929,1.504571,-0.280621,-0.017621,-1.716565,0.690920,0.068218,0.771741,0.191154
0.004000,-0.487340,-1.504837,0.282494,0.657782,-0.001307,-0.001538,-0.753206,-0.051392,-0.296447,0.020642,-0.015075,0.007119,-0.023054,-0.048400,-0.996521,0.039566,0.054247,0.773050,-0.046042,0.041186,-0.709913,0.087299,-0.045629,0.948268,-0.090017,0.058903,-0.732480,-0.215934,-0.064480,1.733339,-0.633157,-0.088300,-1.591213,0.525850,-0.022934,0.767261,0.166969
0.006000,-0.487457,-1.505434,0.282531,0.657765,-0.001390,-0.001340,-0.753221,-0.058216,-0.298745,0.018192,-0.204370,0.067783,-0.022493,-0.047907,-0.997923,0.039174,0.054611,0.776810,-0.047846,0.040864,-0.712593,0.077855,-0.046050,0.949674,-0.089623,0.246273,-0.701091,-0.196066,0.182092,1.880252,-0.902368,-0.160925,-1.340202,-4.722366,-0.210475,0.703056,0.197265
0.008000,-0.487555,-1.506049,0.282541,0.657786,-0.001328,-0.001379,-0.753202,-0.049407,-0.307453,0.005109,0.070772,0.020465,0.028205,-0.048032,-0.999590,0.038910,0.054324,0.780528,-0.049486,0.040514,-0.717213,0.072883,-0.046025,0.951161,-0.089250,-0.062540,-0.833754,-0.131910,-0.143388,1.858982,-0.819759,-0.175015,-2.309831,-2.485909,0.012269,0.743852,0.186545
0.010000,-0.487636,-1.506688,0.282529,0.657845,-0.001084,-0.001750,-0.753151,-0.040490,-0.319147,-0.005723,0.439841,-0.060333,0.077436,-0.048939,-1.001564,0.038724,0.053344,0.783969,-0.044388,0.039935,-0.724369,0.075128,-0.045384,0.952809,-0.088899,-0.453498,-0.986800,-0.092702,-0.490362,1.720355,2.548731,-0.289537,-3.578405,1.122733,0.320348,0.823850,0.175578
0.012000,-0.487730,-1.507321,0.282490,0.657922,-0.000881,-0.002011,-0.753083,-0.046646,-0.316879,-0.019619,0.330639,-0.018595,0.102482,-0.049649,-1.003583,0.038697,0.052393,0.788198,-0.041854,0.038672,-0.732054,0.079469,-0.045034,0.954366,-0.088585,-0.355027,-1.009681,-0.013530,-0.475105,2.114836,1.267153,-0.631504,-3.842240,2.170550,0.174901,0.778714,0.156984
0.014000,-0.487850,-1.507928,0.282430,0.657983,-0.000831,-0.001919,-0.753030,-0.060003,-0.303232,-0.030019,-0.036659,0.098427,0.080568,-0.049596,-1.005437,0.038881,0.052064,0.793512,-0.043349,0.037030,-0.738194,0.082736,-0.045393,0.955669,-0.088273,0.026513,-0.926816,0.092105,-0.164544,2.656656,-0.747634,-0.820915,-3.070116,1.633506,-0.179341,0.651015,0.155898
0.016000,-0.487996,-1.508496,0.282369,0.658018,-0.000924,-0.001441,-0.753000,-0.073418,-0.283963,-0.030431,-0.421001,0.244802,0.046434,-0.048732,-1.007007,0.039247,0.052757,0.799067,-0.046272,0.034937,-0.742680,0.084681,-0.046461,0.956527,-0.087778,0.432236,-0.785079,0.182540,0.346552,2.777418,-1.461161,-1.046653,-2.243087,0.972423,-0.534015,0.429243,0.247451
0.018000,-0.488131,-1.509028,0.282324,0.658033,-0.000926,-0.000880,-0.752988,-0.067109,-0.266203,-0.022584,-0.423333,0.367359,0.019570,-0.047873,-1.008393,0.039873,0.053601,0.803985,-0.049377,0.033144,-0.745830,0.085616,-0.047435,0.956801,-0.086831,0.429366,-0.692789,0.313183,0.421804,2.459314,-1.552684,-0.896419,-1.574706,0.467192,-0.486873,0.136857,0.473222
0.020000,-0.488219,-1.509535,0.282304,0.658033,-0.000656,-0.000524,-0.752988,-0.044132,-0.253629,-0.010220,-0.090433,0.437460,0.000386,-0.047733,-1.009717,0.040764,0.053796,0.808010,-0.052034,0.032307,-0.748093,0.085986,-0.047619,0.956535,-0.085339,0.069825,-0.662021,0.445542,0.097513,2.012565,-1.328270,-0.418467,-1.131729,0.185212,-0.091789,-0.132873,0.746232
