time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,0.304287,0.290334,0.293837,-0.089986,-0.020780,-0.032625,-0.995192,0.117172,0.051514,0.074866,-0.236976,0.232668,-1.021640,0.078525,-0.784547,0.071237,-0.002219,0.790881,-0.078285,-0.029456,-0.871331,0.139952,0.058194,0.782256,-0.067065,1.144030,0.884104,0.140155,0.611841,0.040696,2.371761,0.497127,1.694751,-1.048433,0.573997,0.270972,-0.228673
0.004000,0.304487,0.290410,0.293970,-0.090987,-0.020553,-0.032528,-0.995108,0.100230,0.038000,0.066387,-0.135230,0.182353,-1.009673,0.080516,-0.782995,0.071536,-0.001809,0.792476,-0.079048,-0.028208,-0.868553,0.138547,0.059508,0.782993,-0.067605,0.995792,0.775952,0.149197,0.205315,0.797645,-0.381570,0.624190,1.388963,-0.702259,0.657119,0.368555,-0.269671
0.006000,0.304667,0.290463,0.294115,-0.091983,-0.020398,-0.032605,-0.995018,0.089923,0.026795,0.072406,0.045370,0.127563,-1.006018,0.082099,-0.781554,0.071729,-0.001400,0.793505,-0.076377,-0.026563,-0.866215,0.137616,0.061137,0.783707,-0.067930,0.791253,0.720463,0.096467,0.204304,0.514212,1.335295,0.822400,1.169083,-0.465587,0.814846,0.357077,-0.162566
0.008000,0.304820,0.290502,0.294238,-0.092950,-0.020292,-0.032734,-0.994926,0.076330,0.019628,0.061645,0.101927,0.083463,-0.976903,0.083484,-0.780327,0.071957,-0.001381,0.795556,-0.078377,-0.024815,-0.864467,0.137321,0.062804,0.784516,-0.068299,0.692887,0.613941,0.114135,0.009630,1.025522,-0.999658,0.874022,0.873700,-0.147388,0.833289,0.404210,-0.184429
0.010000,0.304961,0.290545,0.294366,-0.093907,-0.020228,-0.032850,-0.994833,0.070490,0.021554,0.063685,0.092549,0.041267,-0.964458,0.084873,-0.779147,0.072026,-0.000641,0.796808,-0.076900,-0.023128,-0.863006,0.137290,0.064368,0.785333,-0.068588,0.694109,0.589753,0.034331,0.370030,0.625880,0.738190,0.843528,0.730660,-0.015724,0.781794,0.408907,-0.144873
0.012000,0.305086,0.290598,0.294469,-0.094833,-0.020179,-0.032836,-0.994747,0.062339,0.026489,0.051501,-0.033992,0.015737,-0.931291,0.086464,-0.778090,0.072065,0.000384,0.798780,-0.079574,-0.021745,-0.861960,0.137656,0.065577,0.786256,-0.069022,0.795495,0.528397,0.019691,0.512249,0.986240,-1.336684,0.691319,0.523326,0.182897,0.604929,0.461244,-0.216940
0.014000,0.305202,0.290658,0.294573,-0.095740,-0.020155,-0.032806,-0.994661,0.058448,0.029551,0.051970,-0.047841,-0.011095,-0.909866,0.088062,-0.777081,0.072006,0.002086,0.799999,-0.079432,-0.020463,-0.861094,0.138174,0.066671,0.787150,-0.069375,0.799257,0.504509,-0.029694,0.851106,0.609501,0.070718,0.641240,0.432905,0.259109,0.546895,0.447083,-0.176238
0.016000,0.305307,0.290711,0.294666,-0.096608,-0.020151,-0.032827,-0.994577,0.052492,0.026581,0.046555,0.005599,-0.024118,-0.872239,0.089490,-0.776200,0.072006,0.003735,0.801343,-0.080906,-0.019154,-0.860476,0.138945,0.067786,0.787984,-0.069643,0.713997,0.440808,0.000377,0.824705,0.671974,-0.737043,0.654593,0.308850,0.385718,0.557441,0.417144,-0.134420
0.018000,0.305405,0.290753,0.294764,-0.097445,-0.020169,-0.032972,-0.994490,0.048984,0.021240,0.048924,0.132190,-0.032623,-0.843153,0.090616,-0.775397,0.072041,0.005431,0.802090,-0.080441,-0.017647,-0.859970,0.139826,0.069085,0.788665,-0.069681,0.563098,0.401322,0.017605,0.847908,0.373453,0.232480,0.753110,0.253088,0.440207,0.649481,0.340302,-0.019011
0.020000,0.305553,0.290848,0.294922,-0.098380,-0.020046,-0.032791,-0.994406,0.073838,0.047279,0.079299,-0.208088,0.071646,-0.938573,0.092613,-0.774197,0.071981,0.011223,0.798003,-0.056117,-0.016714,-0.858183,0.139339,0.069732,0.788804,-0.069184,0.998436,0.600128,-0.030432,2.896211,-2.043584,12.162286,0.466481,0.893177,-0.243355,0.323348,0.069540,0.248812
