time_sec,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,FR_hip_joint,FR_thigh_joint,FR_calf_joint,FL_hip_joint,FL_thigh_joint,FL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,FR_hip_joint_vel,FR_thigh_joint_vel,FR_calf_joint_vel,FL_hip_joint_vel,FL_thigh_joint_vel,FL_calf_joint_vel,RR_hip_joint_vel,RR_thigh_joint_vel,RR_calf_joint_vel,RL_hip_joint_vel,RL_thigh_joint_vel,RL_calf_joint_vel
0.002000,-0.150070,0.073989,0.293398,-0.191773,-0.018515,0.038484,-0.980510,0.046107,-0.168242,0.047270,-0.258650,-0.244486,0.683674,0.007125,-0.943621,0.380754,0.006430,0.792248,0.001881,-0.004714,-0.768109,0.051452,0.015316,0.997899,-0.378062,1.705281,4.778956,-5.566676,-0.672508,-0.452061,0.047804,-0.311959,-0.264003,0.013232,1.457810,-2.013736,5.891151
0.004000,-0.149973,0.073644,0.293498,-0.191058,-0.018662,0.038769,-0.980635,0.048566,-0.172729,0.049586,-0.233173,-0.224311,0.724520,0.009352,-0.933105,0.364015,0.004971,0.791276,0.001935,-0.005339,-0.768579,0.051410,0.017212,0.992080,-0.360745,1.113417,5.258036,-8.369393,-0.729460,-0.486127,0.026620,-0.312457,-0.235014,-0.020869,0.948227,-2.909555,8.658735
0.006000,-0.149875,0.073309,0.293569,-0.190373,-0.018810,0.039147,-0.980751,0.048953,-0.167612,0.035841,-0.324889,-0.241757,0.695586,0.012128,-0.923232,0.350567,0.003746,0.790464,0.001827,-0.006100,-0.769117,0.051483,0.019449,0.986970,-0.347654,1.387806,4.936677,-6.724289,-0.612259,-0.405758,-0.053656,-0.380634,-0.268838,0.036460,1.118134,-2.555154,6.545154
0.008000,-0.149772,0.072967,0.293643,-0.189655,-0.018940,0.039505,-0.980873,0.051486,-0.170734,0.037048,-0.308536,-0.221089,0.728837,0.013932,-0.912719,0.332885,0.002443,0.789594,0.001674,-0.006872,-0.769587,0.051484,0.020752,0.980276,-0.329656,0.902076,5.256432,-8.841029,-0.651839,-0.435034,-0.076897,-0.385858,-0.235055,0.000336,0.651718,-3.346815,8.999056
0.010000,-0.149670,0.072632,0.293691,-0.188968,-0.019074,0.039904,-0.980987,0.051036,-0.167576,0.023613,-0.348394,-0.232898,0.697549,0.016190,-0.903021,0.319188,0.001274,0.788853,0.001400,-0.007669,-0.770118,0.051609,0.022517,0.974309,-0.315628,1.129096,4.848859,-6.848592,-0.584510,-0.370861,-0.136932,-0.398706,-0.265324,0.062602,0.882300,-2.983341,7.014278
0.012000,-0.149565,0.072289,0.293739,-0.188254,-0.019203,0.040261,-0.981107,0.052514,-0.171490,0.024260,-0.306751,-0.219284,0.724930,0.017522,-0.892907,0.302041,-0.000018,0.788043,0.001130,-0.008414,-0.770614,0.051705,0.023551,0.967021,-0.297554,0.665894,5.057364,-8.573027,-0.645737,-0.404551,-0.134710,-0.372238,-0.248473,0.047803,0.516913,-3.644199,9.036631
0.014000,-0.149462,0.071952,0.293766,-0.187567,-0.019344,0.040669,-0.981219,0.051704,-0.168345,0.013575,-0.356320,-0.240575,0.697199,0.019162,-0.883477,0.287643,-0.001164,0.787341,0.000802,-0.009206,-0.771191,0.051918,0.024918,0.960451,-0.283026,0.820149,4.714864,-7.199278,-0.573082,-0.351003,-0.163929,-0.396339,-0.288374,0.106539,0.683602,-3.284820,7.264223
0.016000,-0.149356,0.071611,0.293795,-0.186858,-0.019485,0.041062,-0.981335,0.052889,-0.170712,0.014090,-0.340324,-0.239119,0.719242,0.020040,-0.873790,0.270271,-0.002374,0.786587,0.000505,-0.009990,-0.771767,0.052122,0.025599,0.952858,-0.265396,0.438921,4.843441,-8.686209,-0.604946,-0.377011,-0.148865,-0.391889,-0.287723,0.101993,0.340388,-3.796638,8.814851
0.018000,-0.149252,0.071276,0.293805,-0.186174,-0.019640,0.041504,-0.981443,0.052251,-0.167614,0.005308,-0.387705,-0.260338,0.693739,0.021181,-0.864784,0.255463,-0.003446,0.785921,0.000175,-0.010823,-0.772412,0.052423,0.026492,0.945902,-0.250674,0.570328,4.503203,-7.403834,-0.536109,-0.333176,-0.164668,-0.416126,-0.322773,0.150842,0.446532,-3.478023,7.361167
0.020000,-0.149146,0.070936,0.293812,-0.185477,-0.019796,0.041923,-0.981554,0.052791,-0.169608,0.003473,-0.363354,-0.257899,0.706776,0.021759,-0.855862,0.239507,-0.004586,0.785229,-0.000150,-0.011615,-0.773063,0.052741,0.026883,0.938241,-0.233896,0.288961,4.460615,-7.978129,-0.570068,-0.346242,-0.162844,-0.396383,-0.325215,0.158691,0.195520,-3.830333,8.388752
